1avypoa	Plan recall	Your pick 5.01: what's the plan?
badbaz	Plan recall	Your pick 6.14: what's the plan?
rwsbzu	Plan recall	Your pick 7.01: what's the plan?
xc3u3v	Plan recall	Your pick 8.14: what's the plan?
l49et4	Plan recall	Your pick 9.01: what's the plan?
3a48ag	Plan recall	Your pick 10.14: what's the plan?
d6cuu	Plan recall	Your pick 11.01: what's the plan?
14vqyf0	Plan recall	Your pick 12.14: what's the plan?
1fdo943	Plan recall	Your pick 13.01: what's the plan?
3iuf3t	Plan recall	Your pick 14.14: what's the plan?
